,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.03664623945951462, 0.04241088405251503, 0.9209428429603577)","(0.0, 0.0, 1.0)",0.99279726,0.9935542,0.9931808,0.9931808,0.9931808
1,"(0.3312362730503082, 0.09881243109703064, 0.5699512958526611)","(0.333, 0.0, 0.667)",0.9050307,0.90325373,0.9084247,0.9069387,0.8626724
2,"(0.6776256561279297, 0.053153421729803085, 0.26922088861465454)","(0.667, 0.0, 0.333)",0.8548823,0.8511232,0.84431255,0.8520006,0.8508847
3,"(0.9386852979660034, 0.016747092828154564, 0.044567693024873734)","(1.0, 0.0, 0.0)",1.0,1.0,1.0,1.0,1.0
