,Policy,sus,sec,eff
36,"Learning(0.0, 1.0, 0.0)_result_(0.0, 1.0, 0.0)","(0.6542267498160456, 0.22416048957209667)","(0.29702802631666264, 0.0970941634381398)","(1.0842543207051534, 0.49601380734361794)"
37,"Learning(0.25, 0.0, 0.75)_result_(0.25, 0.0, 0.75)","(0.3948829037307357, 0.11305780554384966)","(0.5965882309191282, 0.22650016827855843)","(0.21381368306289292, 0.10597844357750415)"
38,"Learning(0.25, 0.25, 0.5)_result_(0.25, 0.25, 0.5)","(0.3986820141902794, 0.11594795922265579)","(0.5536622916649656, 0.21160491367832493)","(0.2240307354391246, 0.11914634241547299)"
39,"Learning(0.25, 0.5, 0.25)_result_(0.25, 0.5, 0.25)","(0.4138120186957837, 0.12962736063650218)","(0.47238574280632556, 0.18608901124336769)","(0.30742624916571293, 0.20233675139502041)"
40,"Learning(0.25, 0.75, 0.0)_result_(0.25, 0.75, 0.0)","(0.5699541736386508, 0.20260293839860996)","(0.3083462616936901, 0.10532786275181336)","(0.8723530619693185, 0.47218709111153756)"
41,"Learning(0.5, 0.0, 0.5)_result_(0.5, 0.0, 0.5)","(0.389719334232627, 0.10984289370163454)","(0.6122948305968939, 0.23221392505963465)","(0.21657266729399502, 0.10690503790618688)"
42,"Learning(0.5, 0.25, 0.25)_result_(0.5, 0.25, 0.25)","(0.3951604841713561, 0.11536729798973497)","(0.5236814301581609, 0.20707533220916335)","(0.24897277648530067, 0.1550432792678702)"
43,"Learning(0.5, 0.5, 0.0)_result_(0.5, 0.5, 0.0)","(0.47847982773505227, 0.16729674576181855)","(0.3626486893747489, 0.12698756773744582)","(0.6071525837224295, 0.38427278730725173)"
44,"Learning(0.75, 0.0, 0.25)_result_(0.75, 0.0, 0.25)","(0.3868265921444522, 0.10953686633502553)","(0.6284809107989866, 0.23223764754097226)","(0.2205945417085068, 0.1062651067816491)"
45,"Learning(0.75, 0.25, 0.0)_result_(0.75, 0.25, 0.0)","(0.4026120325058735, 0.11645314580447802)","(0.48494458768044224, 0.20470517127104307)","(0.31553372239164, 0.19927922791221853)"
46,"Learning(1.0, 0.0, 0.0)_result_(1.0, 0.0, 0.0)","(0.38340658279010215, 0.10802199626372055)","(0.5996791414997317, 0.23166123127540622)","(0.24096945956491828, 0.13894954093124948)"
