,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.011902747675776482, 0.012476762756705284, 0.975620448589325)","(0.0, 0.0, 1.0)",1.0,1.0,1.0,1.0,1.0
1,"(0.08727004379034042, 0.004982420243322849, 0.9077475070953369)","(0.333, 0.0, 0.667)",0.998101233306464,0.9994823126897682,0.9996543313681122,0.9996764645014532,0.9790106731916318
2,"(0.23401892185211182, 0.02206319198012352, 0.7439178228378296)","(0.667, 0.0, 0.333)",1.0,1.0,1.0,1.0,0.9861739177401778
3,"(0.9514143466949463, 0.015785228461027145, 0.032800473272800446)","(1.0, 0.0, 0.0)",1.0,1.0,1.0,1.0,1.0
