,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with target profile agent,Similarity with target profile society
0,"(0.03664623945951462, 0.04241088405251503, 0.9209428429603577)","(0.0, 0.0, 1.0)",0.9995556116227364,0.9962478832934075,0.9997308464334673,0.9997308464334673,0.9997308464334673
1,"(0.3312362730503082, 0.09881243109703064, 0.5699512958526611)","(0.333, 0.0, 0.667)",0.9812386396086881,0.96637518587156,0.9930289962942789,0.9963773636776893,0.9785193064535117
2,"(0.6776256561279297, 0.053153421729803085, 0.26922088861465454)","(0.667, 0.0, 0.333)",0.9770349669527726,0.9146844609035388,0.9589035859878465,0.9912011553885307,0.9877994390635023
3,"(0.9386852979660034, 0.016747092828154564, 0.044567693024873734)","(1.0, 0.0, 0.0)",1.0,1.0,1.0,1.0,1.0
