,Sustainability,Security,Efficiency,Expert + given profile,Value learning + given profile,"Society with profile: ('0.500', '0.300', '0.200')","Expert with profile: ('0.500', '0.300', '0.200')","Profile learning + Value Learning: ('0.354', '0.305', '0.341')"
0,1.0,0.0,0.0,"(3.0716975, 0.90351516)","(3.0716975, 0.90351516)","(3.7393966, 1.606126)","(3.1904533, 0.96361756)","(3.153394, 0.96071595)"
1,0.0,0.0,1.0,"(0.8331574, 0.42711234)","(0.8331574, 0.42711234)","(1.9000498, 1.9274904)","(0.8365898, 0.4326588)","(0.99331534, 0.6206322)"
2,0.5,0.3,0.2,"(2.6558626, 0.84129435)","(2.5611897, 0.79615426)","(3.0202754, 1.2000939)","(2.6558626, 0.8412943)","(2.5649054, 0.79845524)"
3,0.0,1.0,0.0,"(1.5414001, 0.5061216)","(1.5414002, 0.5061216)","(2.5685563, 1.2789388)","(2.9777262, 1.1774986)","(2.6318176, 1.0999998)"
