,Sustainability,Security,Efficiency,Expert + given profile,Value learning + given profile,"Society with profile: ('0.500', '0.300', '0.200')","Expert with profile: ('0.500', '0.300', '0.200')","Profile learning + Value Learning: ('0.144', '0.070', '0.786')"
0,1.0,0.0,0.0,"(3.0716975, 0.90351516)","(3.0716975, 0.90351516)","(3.7428546, 1.6187841)","(3.1904533, 0.96361756)","(3.1992033, 0.97408485)"
1,0.0,0.0,1.0,"(0.8331574, 0.42711234)","(0.8331574, 0.42711234)","(1.9026989, 1.9395539)","(0.8365898, 0.4326588)","(0.8358461, 0.4325456)"
2,0.5,0.3,0.2,"(2.6558626, 0.84129435)","(2.5611897, 0.79615426)","(3.025063, 1.2083958)","(2.6558626, 0.8412943)","(2.6573398, 0.842837)"
3,0.0,1.0,0.0,"(1.5414001, 0.5061216)","(1.5414002, 0.5061216)","(2.5769842, 1.2879308)","(2.9777262, 1.1774986)","(2.9685628, 1.1700392)"
