,Sustainability,Security,Efficiency,Expert + given profile,Value learning + given profile,"Society with profile: ('0.700', '0.300', '0.000')","Expert with profile: ('0.700', '0.300', '0.000')","Profile learning + Value Learning: ('0.354', '0.305', '0.341')"
0,1.0,0.0,0.0,"(3.0561674, 0.78690624)","(3.0561676, 0.78690624)","(3.6649542, 1.4934162)","(3.114116, 0.8176736)","(3.1500123, 0.84992373)"
1,0.7,0.3,0.0,"(2.971565, 0.7858408)","(2.9714484, 0.7856346)","(3.3395398, 1.1014968)","(2.971565, 0.78584087)","(2.9963665, 0.8016322)"
2,0.0,0.0,1.0,"(0.7951832, 0.34054783)","(0.7951832, 0.34054783)","(1.8552939, 1.8276057)","(1.0517417, 0.6551616)","(0.9453861, 0.5365974)"
3,0.0,1.0,0.0,"(1.5446324, 0.51621765)","(1.5446324, 0.5162176)","(2.5802402, 1.2131046)","(2.638946, 1.0527303)","(2.6378608, 1.0323851)"
