,Sustainability,Security,Efficiency,Expert + given profile,Value learning + given profile,"Society with profile: ('0.700', '0.300', '0.000')","Expert with profile: ('0.700', '0.300', '0.000')","Profile learning + Value Learning: ('0.698', '0.290', '0.012')"
0,1.0,0.0,0.0,"(3.0561674, 0.78690624)","(3.0561676, 0.78690624)","(3.6873884, 1.5147306)","(3.114116, 0.8176736)","(3.1169207, 0.8171319)"
1,0.7,0.3,0.0,"(2.971565, 0.7858408)","(2.9714484, 0.7856346)","(3.348716, 1.1083164)","(2.971565, 0.78584087)","(2.9715621, 0.7858408)"
2,0.0,0.0,1.0,"(0.7951832, 0.34054783)","(0.7951832, 0.34054783)","(1.8908039, 1.8487492)","(1.0517417, 0.6551616)","(1.0512176, 0.65543073)"
3,0.0,1.0,0.0,"(1.5446324, 0.51621765)","(1.5446324, 0.5162176)","(2.5584803, 1.1843094)","(2.638946, 1.0527303)","(2.6323922, 1.0504788)"
