,Sustainability,Security,Efficiency,Expert + given profile,Value learning + given profile,"Society with profile: ('0.700', '0.300', '0.000')","Expert with profile: ('0.700', '0.300', '0.000')","Profile learning + Value Learning: ('0.484', '0.489', '0.027')"
0,1.0,0.0,0.0,"(3.0561674, 0.78690624)","(3.0561676, 0.78690624)","(3.6896741, 1.5285873)","(3.114116, 0.8176736)","(3.4346232, 0.99123603)"
1,0.7,0.3,0.0,"(2.971565, 0.7858408)","(2.9714484, 0.7856346)","(3.354076, 1.1124175)","(2.971565, 0.78584087)","(3.0444064, 0.8273084)"
2,0.0,0.0,1.0,"(0.7951832, 0.34054783)","(0.7951832, 0.34054783)","(1.8992461, 1.8807635)","(1.0517417, 0.6551616)","(1.631994, 1.0553119)"
3,0.0,1.0,0.0,"(1.5446324, 0.51621765)","(1.5446324, 0.5162176)","(2.5710127, 1.2056966)","(2.638946, 1.0527303)","(2.1339014, 0.88534725)"
