fecha;intensidad;ocupacion;vmed
2018-01-01 00:00:00;528;1;73
2018-01-01 00:15:00;285;1;71
2018-01-01 00:30:00;510;0;71
2018-01-01 00:45:00;2100;4;71
2018-01-01 01:00:00;3240;6;69
2018-01-01 01:15:00;5304;12;66
2018-01-01 01:30:00;5712;11;68
2018-01-01 01:45:00;5520;11;66
2018-01-01 02:00:00;5772;12;65
2018-01-01 02:15:00;5715;12;64
2018-01-01 02:30:00;3750;7;67
2018-01-01 02:45:00;3780;8;66
2018-01-01 03:00:00;2610;4;68
2018-01-01 03:15:00;2760;6;68
2018-01-01 03:30:00;1875;3;70
2018-01-01 03:45:00;1788;4;68
2018-01-01 04:00:00;1545;3;70
2018-01-01 04:15:00;960;1;69
2018-01-01 04:30:00;1120;3;68
2018-01-01 04:45:00;760;1;70
2018-01-01 05:00:00;744;1;72
2018-01-01 05:15:00;900;2;72
2018-01-01 05:30:00;720;1;73
2018-01-01 05:45:00;620;1;71
2018-01-01 06:00:00;860;2;71
2018-01-01 06:15:00;972;2;71
2018-01-01 06:30:00;828;2;70
2018-01-01 06:45:00;1440;2;71
2018-01-01 07:00:00;1332;3;69
2018-01-01 07:15:00;900;1;73
2018-01-01 07:30:00;1104;2;69
2018-01-01 07:45:00;1560;3;69
2018-01-01 08:00:00;948;1;68
2018-01-01 08:15:00;792;1;73
2018-01-01 08:30:00;396;1;72
2018-01-01 08:45:00;660;1;69
2018-01-01 09:00:00;756;2;73
2018-01-01 09:15:00;800;2;74
2018-01-01 09:30:00;540;1;70
2018-01-01 09:45:00;885;1;71
2018-01-01 10:00:00;855;1;74
2018-01-01 10:15:00;528;1;70
2018-01-01 10:30:00;795;1;68
2018-01-01 10:45:00;732;1;70
2018-01-01 11:00:00;1032;2;69
2018-01-01 11:15:00;1152;2;71
2018-01-01 11:30:00;1308;2;70
2018-01-01 11:45:00;1512;3;70
2018-01-01 12:00:00;1524;2;70
2018-01-01 12:15:00;1692;3;70
2018-01-01 12:30:00;2040;3;68
2018-01-01 12:45:00;2328;4;69
2018-01-01 13:00:00;2508;4;68
2018-01-01 13:15:00;2840;5;67
2018-01-01 13:30:00;4260;7;70
2018-01-01 13:45:00;5280;10;65
2018-01-01 14:00:00;5700;10;67
2018-01-01 14:15:00;4680;8;67
2018-01-01 14:30:00;4968;9;68
2018-01-01 14:45:00;4680;9;68
2018-01-01 15:00:00;4820;9;68
2018-01-01 15:15:00;3624;7;71
2018-01-01 15:30:00;2400;5;73
2018-01-01 15:45:00;1860;4;73
2018-01-01 16:00:00;1524;3;74
2018-01-01 16:15:00;1512;2;73
2018-01-01 16:30:00;1728;4;71
2018-01-01 16:45:00;1875;3;68
2018-01-01 17:00:00;2808;5;69
2018-01-01 17:15:00;2796;5;70
2018-01-01 17:30:00;2925;6;68
2018-01-01 17:45:00;3828;7;68
2018-01-01 18:00:00;3876;8;66
2018-01-01 18:15:00;4140;8;66
2018-01-01 18:30:00;3420;7;69
2018-01-01 18:45:00;4752;10;63
2018-01-01 19:00:00;5076;10;65
2018-01-01 19:15:00;4440;9;65
2018-01-01 19:30:00;5220;10;65
2018-01-01 19:45:00;4470;8;64
2018-01-01 20:00:00;4020;8;66
2018-01-01 20:15:00;4020;8;66
2018-01-01 20:30:00;3852;8;66
2018-01-01 20:45:00;3384;7;66
2018-01-01 21:00:00;3300;7;67
2018-01-01 21:15:00;3432;6;68
2018-01-01 21:30:00;3024;6;67
2018-01-01 21:45:00;2880;5;67
2018-01-01 22:00:00;2775;6;67
2018-01-01 22:15:00;2436;5;68
2018-01-01 22:30:00;2490;5;69
2018-01-01 22:45:00;1848;3;71
2018-01-01 23:00:00;1668;4;68
2018-01-01 23:15:00;1260;2;68
2018-01-01 23:30:00;1176;2;73
2018-01-01 23:45:00;1320;2;70
2018-01-02 00:00:00;1200;2;69
2018-01-02 00:15:00;792;2;71
2018-01-02 00:30:00;780;2;70
2018-01-02 00:45:00;1065;2;68
2018-01-02 01:00:00;528;1;69
2018-01-02 01:15:00;540;1;69
2018-01-02 01:30:00;315;1;67
2018-01-02 01:45:00;390;1;74
2018-01-02 02:00:00;435;1;68
2018-01-02 02:15:00;390;1;71
2018-01-02 02:30:00;252;1;66
2018-01-02 02:45:00;132;0;52
2018-01-02 03:00:00;168;0;53
2018-01-02 03:15:00;264;1;66
2018-01-02 03:30:00;96;0;31
2018-01-02 03:45:00;285;0;65
2018-01-02 04:00:00;108;0;46
2018-01-02 04:30:00;96;0;26
2018-01-02 04:45:00;144;0;70
2018-01-02 05:15:00;240;0;66
2018-01-02 05:30:00;270;1;78
2018-01-02 05:45:00;630;1;71
2018-01-02 06:00:00;588;1;70
2018-01-02 06:15:00;1032;2;69
2018-01-02 06:30:00;1596;3;68
2018-01-02 06:45:00;2910;5;69
2018-01-02 07:00:00;3828;8;69
2018-01-02 07:15:00;4704;9;68
2018-01-02 07:30:00;4644;9;67
2018-01-02 07:45:00;4860;9;66
2018-01-02 08:00:00;4395;8;65
2018-01-02 08:15:00;4020;9;66
2018-01-02 08:30:00;3792;7;67
2018-01-02 08:45:00;4020;7;66
2018-01-02 09:00:00;4416;8;66
2018-01-02 09:15:00;4020;8;68
2018-01-02 09:30:00;4344;9;68
2018-01-02 09:45:00;4116;8;66
2018-01-02 10:00:00;4176;8;66
2018-01-02 10:15:00;4296;8;66
2018-01-02 10:30:00;3852;8;67
2018-01-02 10:45:00;3480;7;65
2018-01-02 11:00:00;4536;8;66
2018-01-02 11:15:00;4548;8;68
2018-01-02 11:30:00;3840;9;67
2018-01-02 11:45:00;4476;9;67
2018-01-02 12:00:00;4548;9;66
2018-01-02 12:15:00;4476;9;67
2018-01-02 12:30:00;5112;10;66
2018-01-02 12:45:00;4035;7;67
2018-01-02 13:00:00;4524;9;65
2018-01-02 13:15:00;4200;8;66
2018-01-02 13:30:00;4860;10;65
2018-01-02 13:45:00;4464;9;68
2018-01-02 14:00:00;4368;8;67
2018-01-02 14:15:00;5280;9;66
2018-01-02 14:30:00;5052;9;67
2018-01-02 14:45:00;5880;9;67
2018-01-02 15:00:00;4980;9;67
2018-01-02 15:15:00;4236;7;69
2018-01-02 15:30:00;4644;8;68
2018-01-02 15:45:00;5325;10;66
2018-01-02 16:00:00;4440;8;69
